Observer,Date,Avistaje.ID,Taxon,Group,point,mean_ltime,mean_x_proj,mean_y_proj,mean_latitude,mean_longitude,mean_alt,speed_m_per_min,distance
Robyn Reeder,2014-07-07T05:00:00Z,AV25640,Lagothrix,Lagothrix D,7/7/2014 21:00,2014-07-07T20:59:49Z,371963.1836,9930498.748,-0.62867174,-76.1506255,273.4521942,NA,0
Robyn Reeder,2014-07-07T05:00:00Z,AV25640,Lagothrix,Lagothrix D,7/7/2014 21:15,2014-07-07T21:14:49Z,371959.1088,9930447.491,-0.629135374,-76.15066221,270.4480439,3.45153521,51.77302815
Robyn Reeder,2014-07-07T05:00:00Z,AV25640,Lagothrix,Lagothrix D,7/7/2014 21:30,2014-07-07T21:29:49Z,371999.2496,9930380.324,-0.629743009,-76.15030166,266.602768,5.243456105,78.65184157
Robyn Reeder,2014-07-07T05:00:00Z,AV25640,Lagothrix,Lagothrix D,7/7/2014 21:45,2014-07-07T21:44:49Z,371998.252,9930334.867,-0.630154194,-76.15031072,263.8990784,3.052266541,45.78399811
Robyn Reeder,2014-07-07T05:00:00Z,AV25640,Lagothrix,Lagothrix D,7/7/2014 22:00,2014-07-07T21:59:49Z,371992.7104,9930332.436,-0.630176166,-76.15036052,264.0192413,0.403926422,6.058896325
Robyn Reeder,2014-07-07T05:00:00Z,AV25640,Lagothrix,Lagothrix D,7/7/2014 22:15,2014-07-07T22:14:49Z,371963.7289,9930314.494,-0.630338408,-76.15062096,247.8570557,2.277104708,34.15657062
Robyn Reeder,2014-07-07T05:00:00Z,AV25640,Lagothrix,Lagothrix D,7/7/2014 22:30,2014-07-07T22:29:49Z,371952.3825,9930308.51,-0.630392513,-76.15072293,243.5311432,0.856604227,12.84906341
Robyn Reeder,2014-07-07T05:00:00Z,AV25640,Lagothrix,Lagothrix D,7/7/2014 22:45,2014-07-07T22:44:49Z,371954.3616,9930302.436,-0.630447455,-76.15070516,243.2307129,0.428541158,6.428117369
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 11:15,2014-07-08T11:15:19Z,372023.0402,9930311.768,-0.630363178,-76.15008803,230.613383,NA,0
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 11:30,2014-07-08T11:29:49Z,372029.1905,9930302.45,-0.630447475,-76.15003278,234.3385468,0.747953913,11.21930869
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 11:45,2014-07-08T11:44:52Z,372100.1654,9930168.618,-0.631658194,-76.14939531,235.1796509,10.15435438,152.3153157
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 12:00,2014-07-08T12:00:12Z,372020.8413,9930298.535,-0.630482879,-76.15010781,225.806839,10.19981486,152.9972229
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 12:15,2014-07-08T12:15:12Z,372043.4601,9930304.24,-0.63043132,-76.14990456,235.7204437,1.556074539,23.34111809
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 12:30,2014-07-08T12:30:12Z,372038.6341,9930318.761,-0.630299955,-76.1499479,231.0339508,1.026568075,15.39852112
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 12:45,2014-07-08T12:45:01Z,372041.3872,9930319.961,-0.630289111,-76.14992316,236.8619537,0.20045317,3.006797543
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 13:00,2014-07-08T13:00:01Z,372069.9042,9930258.96,-0.630840944,-76.14966704,221.6611176,4.514854931,67.72282396
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 13:15,2014-07-08T13:15:01Z,372064.7224,9930263.253,-0.630802106,-76.14971359,224.0043182,0.449906081,6.748591216
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 13:30,2014-07-08T13:30:01Z,372062.5612,9930272.399,-0.630719375,-76.14973299,224.4249573,0.630628049,9.459420737
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 13:45,2014-07-08T13:45:01Z,372073.7898,9930262.327,-0.630810498,-76.14963212,232.0553589,1.008801169,15.13201753
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 14:00,2014-07-08T14:00:01Z,372099.9672,9930263.716,-0.630797989,-76.1493969,233.9179535,1.747989725,26.21984588
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 14:15,2014-07-08T14:15:01Z,372110.5945,9930321.28,-0.630277315,-76.14930129,231.5146485,3.928667706,58.93001559
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 14:30,2014-07-08T14:30:01Z,372107.1419,9930327.321,-0.630222662,-76.14933231,227.0686188,0.4663315,6.994972505
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 14:45,2014-07-08T14:45:01Z,372099.8231,9930335.068,-0.630152571,-76.14939805,228.630661,0.713178536,10.69767804
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 15:00,2014-07-08T15:00:01Z,372100.5734,9930331.996,-0.630180365,-76.14939132,234.0381165,0.212236719,3.183550792
Robyn Reeder,2014-07-08T05:00:00Z,AV25641,Lagothrix,Lagothrix D,7/8/2014 15:15,2014-07-08T15:15:01Z,372107.9471,9930329.219,-0.630205501,-76.14932507,234.6389465,0.525832585,7.887488779
